x,y,label,node,line,labelType,respID,qID,altID,obsID
0,0,Start,0,1,Terminal,640,1,1,3835
0,-0.5,Car,0,0,Transit,640,1,1,3835
0,-1,End,0,1,Terminal,640,1,1,3835
0,0,"Start
(2 min wait)",0,1,Terminal,640,1,2,3835
0,-0.25,Uber/Lyft,0,0,Transit,640,1,2,3835
0,-0.5,"Transfer
(5 min wait)",1,0,Node,640,1,2,3835
0,-0.75,Bus,0,0,Transit,640,1,2,3835
0,-1,Transfer,1,1,Node,640,1,2,3835
0,-1.125,Walk (2 min),0,0,Transit,640,1,2,3835
0,-1.25,End,0,0,Terminal,640,1,2,3835
0,0,Start,0,1,Terminal,640,1,3,3835
0,-0.16666666666666666,Car,0,0,Transit,640,1,3,3835
0,-0.3333333333333333,"Transfer
(2 min wait)",1,0,Node,640,1,3,3835
0,-0.5,Bus,0,0,Transit,640,1,3,3835
0,-0.6666666666666666,"Transfer
(5 min wait)",1,0,Node,640,1,3,3835
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,640,1,3,3835
0,-1,End,0,1,Terminal,640,1,3,3835
0,0,"Start
(2 min wait)",0,1,Terminal,640,2,1,3836
0,-0.25,Uber/Lyft,0,0,Transit,640,2,1,3836
0,-0.5,"Transfer
(10 min wait)",1,0,Node,640,2,1,3836
0,-0.75,Bus,0,0,Transit,640,2,1,3836
0,-1,Transfer,1,1,Node,640,2,1,3836
0,-1.125,Walk (5 min),0,0,Transit,640,2,1,3836
0,-1.25,End,0,0,Terminal,640,2,1,3836
0,0,Start,0,1,Terminal,640,2,2,3836
0,-0.25,Car,0,0,Transit,640,2,2,3836
0,-0.5,"Transfer
(10 min wait)",1,0,Node,640,2,2,3836
0,-0.75,Bus,0,0,Transit,640,2,2,3836
0,-1,Transfer,1,1,Node,640,2,2,3836
0,-1.125,Walk (5 min),0,0,Transit,640,2,2,3836
0,-1.25,End,0,0,Terminal,640,2,2,3836
0,0,"Start
(2 min wait)",0,1,Terminal,640,2,3,3836
0,-0.5,Taxi,0,0,Transit,640,2,3,3836
0,-1,End,0,1,Terminal,640,2,3,3836
0,0,Start,0,0,Terminal,640,3,1,3837
0,-0.25,Walk (2 min),0,0,Transit,640,3,1,3837
0,-0.5,"Transfer
(2 min wait)",1,1,Node,640,3,1,3837
0,-1,Bus,0,0,Transit,640,3,1,3837
0,-1.5,Transfer,1,1,Node,640,3,1,3837
0,-1.75,Walk (10 min),0,0,Transit,640,3,1,3837
0,-2,End,0,0,Terminal,640,3,1,3837
0,0,Start,0,0,Terminal,640,3,2,3837
0,-0.25,Walk (10 min),0,0,Transit,640,3,2,3837
0,-0.5,"Transfer
(5 min wait)",1,1,Node,640,3,2,3837
0,-1,Bus,0,0,Transit,640,3,2,3837
0,-1.5,Transfer,1,1,Node,640,3,2,3837
0,-1.75,Walk (10 min),0,0,Transit,640,3,2,3837
0,-2,End,0,0,Terminal,640,3,2,3837
0,0,"Start
(2 min wait)",0,1,Terminal,640,3,3,3837
0,-0.16666666666666666,Uber/Lyft,0,0,Transit,640,3,3,3837
0,-0.3333333333333333,"Transfer
(5 min wait)",1,0,Node,640,3,3,3837
0,-0.5,Bus,0,0,Transit,640,3,3,3837
0,-0.6666666666666666,"Transfer
(2 min wait)",1,0,Node,640,3,3,3837
0,-0.8333333333333333,Uber/Lyft,0,0,Transit,640,3,3,3837
0,-1,End,0,1,Terminal,640,3,3,3837
0,0,Start,0,1,Terminal,640,4,1,3838
0,-0.16666666666666666,Car,0,0,Transit,640,4,1,3838
0,-0.3333333333333333,"Transfer
(5 min wait)",1,0,Node,640,4,1,3838
0,-0.5,Bus,0,0,Transit,640,4,1,3838
0,-0.6666666666666666,"Transfer
(10 min wait)",1,0,Node,640,4,1,3838
0,-0.8333333333333333,Taxi,0,0,Transit,640,4,1,3838
0,-1,End,0,1,Terminal,640,4,1,3838
0,0,Start,0,0,Terminal,640,4,2,3838
0,-0.08333333333333333,Walk (2 min),0,0,Transit,640,4,2,3838
0,-0.16666666666666666,"Transfer
(5 min wait)",1,1,Node,640,4,2,3838
0,-0.3333333333333333,Bus,0,0,Transit,640,4,2,3838
0,-0.5,"Transfer
(5 min wait)",1,0,Node,640,4,2,3838
0,-0.6666666666666666,Bus,0,0,Transit,640,4,2,3838
0,-0.8333333333333333,"Transfer
(10 min wait)",1,0,Node,640,4,2,3838
0,-0.9999999999999999,Uber/Lyft,0,0,Transit,640,4,2,3838
0,-1.1666666666666667,End,0,1,Terminal,640,4,2,3838
0,0,"Start
(2 min wait)",0,1,Terminal,640,4,3,3838
0,-0.25,Uber/Lyft,0,0,Transit,640,4,3,3838
0,-0.5,"Transfer
(5 min wait)",1,0,Node,640,4,3,3838
0,-0.75,Bus,0,0,Transit,640,4,3,3838
0,-1,Transfer,1,1,Node,640,4,3,3838
0,-1.125,Walk (10 min),0,0,Transit,640,4,3,3838
0,-1.25,End,0,0,Terminal,640,4,3,3838
0,0,"Start
(2 min wait)",0,1,Terminal,640,5,1,3839
0,-0.5,Taxi,0,0,Transit,640,5,1,3839
0,-1,End,0,1,Terminal,640,5,1,3839
0,0,Start,0,1,Terminal,640,5,2,3839
0,-0.16666666666666666,Car,0,0,Transit,640,5,2,3839
0,-0.3333333333333333,"Transfer
(5 min wait)",1,0,Node,640,5,2,3839
0,-0.5,Bus,0,0,Transit,640,5,2,3839
0,-0.6666666666666666,"Transfer
(2 min wait)",1,0,Node,640,5,2,3839
0,-0.8333333333333333,Taxi,0,0,Transit,640,5,2,3839
0,-1,End,0,1,Terminal,640,5,2,3839
0,0,"Start
(10 min wait)",0,1,Terminal,640,5,3,3839
0,-0.25,Taxi,0,0,Transit,640,5,3,3839
0,-0.5,"Transfer
(10 min wait)",1,0,Node,640,5,3,3839
0,-0.75,Bus,0,0,Transit,640,5,3,3839
0,-1,Transfer,1,1,Node,640,5,3,3839
0,-1.125,Walk (5 min),0,0,Transit,640,5,3,3839
0,-1.25,End,0,0,Terminal,640,5,3,3839
0,0,Start,0,1,Terminal,640,6,1,3840
0,-0.25,Car,0,0,Transit,640,6,1,3840
0,-0.5,"Transfer
(5 min wait)",1,0,Node,640,6,1,3840
0,-0.75,Bus,0,0,Transit,640,6,1,3840
0,-1,Transfer,1,1,Node,640,6,1,3840
0,-1.125,Walk (2 min),0,0,Transit,640,6,1,3840
0,-1.25,End,0,0,Terminal,640,6,1,3840
0,0,Start,0,0,Terminal,640,6,2,3840
0,-0.25,Walk (5 min),0,0,Transit,640,6,2,3840
