x,y,label,times,node,labelType,lineNodes,respID,qID,altID,obsID,price,timeRange
0,0,Start,10 min wait,0,Terminal,1,2999,1,1,17989,20,38 - 42 minutes
0,-0.5,Bus,30 mins,0,Transit,1,2999,1,1,17989,20,38 - 42 minutes
0,-1,End,,0,Terminal,1,2999,1,1,17989,20,38 - 42 minutes
0,0,Start,5 min wait,0,Terminal,1,2999,1,2,17989,10,22 - 28 minutes
0,-0.5,Taxi,20 mins,0,Transit,1,2999,1,2,17989,10,22 - 28 minutes
0,-1,End,,0,Terminal,1,2999,1,2,17989,10,22 - 28 minutes
0,0,Start,10 min wait,0,Terminal,1,2999,1,3,17989,30,56 - 84 minutes
0,-0.1111111111111111,Taxi,10 mins,0,Transit,1,2999,1,3,17989,30,56 - 84 minutes
0,-0.2222222222222222,Transfer,10 min wait,1,Node,1,2999,1,3,17989,30,56 - 84 minutes
0,-0.3333333333333333,Bus,10 mins,0,Transit,1,2999,1,3,17989,30,56 - 84 minutes
0,-0.4444444444444444,Transfer,5 min wait,1,Node,1,2999,1,3,17989,30,56 - 84 minutes
0,-0.7222222222222222,Uber/Lyft,25 mins,0,Transit,1,2999,1,3,17989,30,56 - 84 minutes
0,-1,End,,0,Terminal,1,2999,1,3,17989,30,56 - 84 minutes
0,0,Start,2 min wait,0,Terminal,1,2999,2,1,17990,10,21 - 23 minutes
0,-0.5,Uber/Lyft,20 mins,0,Transit,1,2999,2,1,17990,10,21 - 23 minutes
0,-1,End,,0,Terminal,1,2999,2,1,17990,10,21 - 23 minutes
0,0,Start,5 min wait,0,Terminal,1,2999,2,2,17990,25,48 - 52 minutes
0,-0.21428571428571427,Uber/Lyft,15 mins,0,Transit,1,2999,2,2,17990,25,48 - 52 minutes
0,-0.42857142857142855,Transfer,10 min wait,1,Node,1,2999,2,2,17990,25,48 - 52 minutes
0,-0.7142857142857142,Bus,20 mins,0,Transit,1,2999,2,2,17990,25,48 - 52 minutes
0,-1,End,,0,Terminal,1,2999,2,2,17990,25,48 - 52 minutes
0,0,Start,5 min wait,0,Terminal,1,2999,2,3,17990,15,28 - 42 minutes
0,-0.5,Bus,30 mins,0,Transit,1,2999,2,3,17990,15,28 - 42 minutes
0,-1,End,,0,Terminal,1,2999,2,3,17990,15,28 - 42 minutes
0,0,Start,2 min wait,0,Terminal,1,2999,3,1,17991,20,29 - 35 minutes
0,-0.5,Taxi,30 mins,0,Transit,1,2999,3,1,17991,20,29 - 35 minutes
0,-1,End,,0,Terminal,1,2999,3,1,17991,20,29 - 35 minutes
0,0,Start,2 min wait,0,Terminal,1,2999,3,2,17991,25,26 - 38 minutes
0,-0.5,Bus,30 mins,0,Transit,1,2999,3,2,17991,25,26 - 38 minutes
0,-1,End,,0,Terminal,1,2999,3,2,17991,25,26 - 38 minutes
0,0,Start,2 min wait,0,Terminal,1,2999,3,3,17991,30,20 - 24 minutes
0,-0.25,Uber/Lyft,10 mins,0,Transit,1,2999,3,3,17991,30,20 - 24 minutes
0,-0.5,Transfer,0 min wait,1,Node,1,2999,3,3,17991,30,20 - 24 minutes
0,-0.75,Walk,10 mins,0,Transit,0,2999,3,3,17991,30,20 - 24 minutes
0,-1,End,,0,Terminal,0,2999,3,3,17991,30,20 - 24 minutes
0,0,Start,5 min wait,0,Terminal,1,2999,4,1,17992,15,32 - 48 minutes
0,-0.2857142857142857,Taxi,20 mins,0,Transit,1,2999,4,1,17992,15,32 - 48 minutes
0,-0.5714285714285714,Transfer,0 min wait,1,Node,1,2999,4,1,17992,15,32 - 48 minutes
0,-0.7857142857142857,Walk,15 mins,0,Transit,0,2999,4,1,17992,15,32 - 48 minutes
0,-1,End,,0,Terminal,0,2999,4,1,17992,15,32 - 48 minutes
0,0,Start,10 min wait,0,Terminal,1,2999,4,2,17992,20,28 - 32 minutes
0,-0.5,Bus,20 mins,0,Transit,1,2999,4,2,17992,20,28 - 32 minutes
0,-1,End,,0,Terminal,1,2999,4,2,17992,20,28 - 32 minutes
0,0,Start,10 min wait,0,Terminal,1,2999,4,3,17992,25,40 - 60 minutes
0,-0.25,Bus,15 mins,0,Transit,1,2999,4,3,17992,25,40 - 60 minutes
0,-0.5,Transfer,10 min wait,1,Node,1,2999,4,3,17992,25,40 - 60 minutes
0,-0.75,Bus,15 mins,0,Transit,1,2999,4,3,17992,25,40 - 60 minutes
0,-1,End,,0,Terminal,1,2999,4,3,17992,25,40 - 60 minutes
0,0,Start,10 min wait,0,Terminal,1,2999,5,1,17993,15,28 - 42 minutes
0,-0.25,Taxi,10 mins,0,Transit,1,2999,5,1,17993,15,28 - 42 minutes
0,-0.5,Transfer,5 min wait,1,Node,1,2999,5,1,17993,15,28 - 42 minutes
0,-0.75,Bus,10 mins,0,Transit,1,2999,5,1,17993,15,28 - 42 minutes
0,-1,End,,0,Terminal,1,2999,5,1,17993,15,28 - 42 minutes
0,0,Start,10 min wait,0,Terminal,1,2999,5,2,17993,15,47 - 57 minutes
0,-0.25,Bus,20 mins,0,Transit,1,2999,5,2,17993,15,47 - 57 minutes
0,-0.5,Transfer,2 min wait,1,Node,1,2999,5,2,17993,15,47 - 57 minutes
0,-0.75,Bus,20 mins,0,Transit,1,2999,5,2,17993,15,47 - 57 minutes
