x,y,label,times,node,labelType,lineNodes,respID,qID,altID,obsID,price,timeRange
0,0,Start,Transfer,0,Terminal,1,4087,1,1,24517,20,32 - 48 minutes
0,-0.5,"Car:
Express",40 mins,0,Transit,1,4087,1,1,24517,20,32 - 48 minutes
0,-1,End,,0,Terminal,1,4087,1,1,24517,20,32 - 48 minutes
0,0,Start,2 min wait,0,Terminal,1,4087,1,2,24517,25,45 - 49 minutes
0,-0.1875,Bus,15 mins,0,Transit,1,4087,1,2,24517,25,45 - 49 minutes
0,-0.375,Transfer,Transfer,1,Node,1,4087,1,2,24517,25,45 - 49 minutes
0,-0.4375,Walk,5 mins,0,Transit,0,4087,1,2,24517,25,45 - 49 minutes
0,-0.5,Transfer,5 min wait,1,Node,2,4087,1,2,24517,25,45 - 49 minutes
0,-0.75,Bus,20 mins,0,Transit,2,4087,1,2,24517,25,45 - 49 minutes
0,-1,End,,0,Terminal,2,4087,1,2,24517,25,45 - 49 minutes
0,0,Start,Transfer,0,Terminal,1,4087,1,3,24517,15,27 - 33 minutes
0,-0.5,Car,30 mins,0,Transit,1,4087,1,3,24517,15,27 - 33 minutes
0,-1,End,,0,Terminal,1,4087,1,3,24517,15,27 - 33 minutes
0,0,Start,5 min wait,0,Terminal,1,4087,2,1,24518,10,40 - 60 minutes
0,-0.14285714285714285,Taxi,10 mins,0,Transit,1,4087,2,1,24518,10,40 - 60 minutes
0,-0.2857142857142857,Transfer,Transfer,1,Node,1,4087,2,1,24518,10,40 - 60 minutes
0,-0.42857142857142855,Walk,10 mins,0,Transit,0,4087,2,1,24518,10,40 - 60 minutes
0,-0.5714285714285714,Transfer,10 min wait,1,Node,2,4087,2,1,24518,10,40 - 60 minutes
0,-0.7857142857142857,Bus,15 mins,0,Transit,2,4087,2,1,24518,10,40 - 60 minutes
0,-1,End,,0,Terminal,2,4087,2,1,24518,10,40 - 60 minutes
0,0,Start,10 min wait,0,Terminal,1,4087,2,2,24518,25,42 - 64 minutes
0,-0.19736842105263158,Taxi,15 mins,0,Transit,1,4087,2,2,24518,25,42 - 64 minutes
0,-0.39473684210526316,Transfer,Transfer,1,Node,1,4087,2,2,24518,25,42 - 64 minutes
0,-0.4342105263157895,Walk,3 mins,0,Transit,0,4087,2,2,24518,25,42 - 64 minutes
0,-0.4736842105263158,Transfer,5 min wait,1,Node,2,4087,2,2,24518,25,42 - 64 minutes
0,-0.736842105263158,Bus,20 mins,0,Transit,2,4087,2,2,24518,25,42 - 64 minutes
0,-1,End,,0,Terminal,2,4087,2,2,24518,25,42 - 64 minutes
0,0,Start,Transfer,0,Terminal,1,4087,2,3,24518,10,40 - 60 minutes
0,-0.4,"Car:
Express",40 mins,0,Transit,1,4087,2,3,24518,10,40 - 60 minutes
0,-0.8,Transfer,Transfer,1,Node,1,4087,2,3,24518,10,40 - 60 minutes
0,-0.9,Walk,10 mins,0,Transit,0,4087,2,3,24518,10,40 - 60 minutes
0,-1,End,,0,Terminal,0,4087,2,3,24518,10,40 - 60 minutes
0,0,Start,Transfer,0,Terminal,1,4087,3,1,24519,30,45 - 55 minutes
0,-0.2222222222222222,Car,20 mins,0,Transit,1,4087,3,1,24519,30,45 - 55 minutes
0,-0.4444444444444444,Transfer,5 min wait,1,Node,1,4087,3,1,24519,30,45 - 55 minutes
0,-0.7222222222222222,Bus,25 mins,0,Transit,1,4087,3,1,24519,30,45 - 55 minutes
0,-1,End,,0,Terminal,1,4087,3,1,24519,30,45 - 55 minutes
0,0,Start,Transfer,0,Terminal,1,4087,3,2,24519,20,30 - 44 minutes
0,-0.14285714285714285,"Car:
Express",10 mins,0,Transit,1,4087,3,2,24519,20,30 - 44 minutes
0,-0.2857142857142857,Transfer,2 min wait,1,Node,1,4087,3,2,24519,20,30 - 44 minutes
0,-0.6428571428571428,Bus,25 mins,0,Transit,1,4087,3,2,24519,20,30 - 44 minutes
0,-1,End,,0,Terminal,1,4087,3,2,24519,20,30 - 44 minutes
0,0,Start,10 min wait,0,Terminal,1,4087,3,3,24519,15,71 - 79 minutes
0,-0.16666666666666666,Bus,15 mins,0,Transit,1,4087,3,3,24519,15,71 - 79 minutes
0,-0.3333333333333333,Transfer,10 min wait,1,Node,1,4087,3,3,24519,15,71 - 79 minutes
0,-0.4444444444444444,Bus,10 mins,0,Transit,1,4087,3,3,24519,15,71 - 79 minutes
0,-0.5555555555555556,Transfer,10 min wait,1,Node,1,4087,3,3,24519,15,71 - 79 minutes
0,-0.7777777777777778,Taxi,20 mins,0,Transit,1,4087,3,3,24519,15,71 - 79 minutes
0,-1,End,,0,Terminal,1,4087,3,3,24519,15,71 - 79 minutes
0,0,Start,Transfer,0,Terminal,1,4087,4,1,24520,10,20 - 30 minutes
0,-0.4,Car,20 mins,0,Transit,1,4087,4,1,24520,10,20 - 30 minutes
0,-0.8,Transfer,Transfer,1,Node,1,4087,4,1,24520,10,20 - 30 minutes
0,-0.9,Walk,5 mins,0,Transit,0,4087,4,1,24520,10,20 - 30 minutes
0,-1,End,,0,Terminal,0,4087,4,1,24520,10,20 - 30 minutes
0,0,Start,10 min wait,0,Terminal,1,4087,4,2,24520,20,52 - 78 minutes
0,-0.3,Taxi,30 mins,0,Transit,1,4087,4,2,24520,20,52 - 78 minutes
0,-0.6,Transfer,Transfer,1,Node,1,4087,4,2,24520,20,52 - 78 minutes
0,-0.6499999999999999,Walk,5 mins,0,Transit,0,4087,4,2,24520,20,52 - 78 minutes
0,-0.7,Transfer,5 min wait,1,Node,2,4087,4,2,24520,20,52 - 78 minutes
0,-0.85,Bus,15 mins,0,Transit,2,4087,4,2,24520,20,52 - 78 minutes
0,-1,End,,0,Terminal,2,4087,4,2,24520,20,52 - 78 minutes
0,0,Start,5 min wait,0,Terminal,1,4087,4,3,24520,25,24 - 26 minutes
0,-0.5,Bus,20 mins,0,Transit,1,4087,4,3,24520,25,24 - 26 minutes
0,-1,End,,0,Terminal,1,4087,4,3,24520,25,24 - 26 minutes
0,0,Start,5 min wait,0,Terminal,1,4087,5,1,24521,10,28 - 42 minutes
0,-0.2,Bus,10 mins,0,Transit,1,4087,5,1,24521,10,28 - 42 minutes
0,-0.4,Transfer,5 min wait,1,Node,1,4087,5,1,24521,10,28 - 42 minutes
0,-0.7,Bus,15 mins,0,Transit,1,4087,5,1,24521,10,28 - 42 minutes
0,-1,End,,0,Terminal,1,4087,5,1,24521,10,28 - 42 minutes
0,0,Start,Transfer,0,Terminal,1,4087,5,2,24521,25,24 - 36 minutes
0,-0.25,"Car:
Express",15 mins,0,Transit,1,4087,5,2,24521,25,24 - 36 minutes
0,-0.5,Transfer,Transfer,1,Node,1,4087,5,2,24521,25,24 - 36 minutes
0,-0.75,Walk,15 mins,0,Transit,0,4087,5,2,24521,25,24 - 36 minutes
0,-1,End,,0,Terminal,0,4087,5,2,24521,25,24 - 36 minutes
0,0,Start,Transfer,0,Terminal,1,4087,5,3,24521,30,18 - 22 minutes
0,-0.5,"Car:
Express",20 mins,0,Transit,1,4087,5,3,24521,30,18 - 22 minutes
0,-1,End,,0,Terminal,1,4087,5,3,24521,30,18 - 22 minutes
0,0,Start,2 min wait,0,Terminal,1,4087,6,1,24522,20,85 - 93 minutes
0,-0.2,Bus,30 mins,0,Transit,1,4087,6,1,24522,20,85 - 93 minutes
0,-0.4,Transfer,2 min wait,1,Node,1,4087,6,1,24522,20,85 - 93 minutes
0,-0.5333333333333334,Bus,20 mins,0,Transit,1,4087,6,1,24522,20,85 - 93 minutes
0,-0.6666666666666667,Transfer,10 min wait,1,Node,1,4087,6,1,24522,20,85 - 93 minutes
0,-0.8333333333333334,Taxi,25 mins,0,Transit,1,4087,6,1,24522,20,85 - 93 minutes
0,-1,End,,0,Terminal,1,4087,6,1,24522,20,85 - 93 minutes
0,0,Start,Transfer,0,Terminal,1,4087,6,2,24522,25,16 - 24 minutes
0,-0.25,"Car:
Express",10 mins,0,Transit,1,4087,6,2,24522,25,16 - 24 minutes
0,-0.5,Transfer,Transfer,1,Node,1,4087,6,2,24522,25,16 - 24 minutes
0,-0.75,Walk,10 mins,0,Transit,0,4087,6,2,24522,25,16 - 24 minutes
0,-1,End,,0,Terminal,0,4087,6,2,24522,25,16 - 24 minutes
0,0,Start,10 min wait,0,Terminal,1,4087,6,3,24522,10,38 - 58 minutes
0,-0.22727272727272727,Bus,15 mins,0,Transit,1,4087,6,3,24522,10,38 - 58 minutes
0,-0.45454545454545453,Transfer,Transfer,1,Node,1,4087,6,3,24522,10,38 - 58 minutes
0,-0.5,Walk,3 mins,0,Transit,0,4087,6,3,24522,10,38 - 58 minutes
0,-0.5454545454545454,Transfer,5 min wait,1,Node,2,4087,6,3,24522,10,38 - 58 minutes
0,-0.7727272727272727,Bus,15 mins,0,Transit,2,4087,6,3,24522,10,38 - 58 minutes
0,-1,End,,0,Terminal,2,4087,6,3,24522,10,38 - 58 minutes
