x,y,label,type,respID,qID,altID,obsID
1,0,Start,Start,2340,1,1,14035
1,0.08333333333333333,Walk (10 min),Walk,2340,1,1,14035
1,0.16666666666666666,Uber/Lyft,Vehicle,2340,1,1,14035
0,0.3333333333333333,Transfer,Node,2340,1,1,14035
1,0.5,Bus,Vehicle,2340,1,1,14035
0,0.6666666666666666,Transfer,Node,2340,1,1,14035
1,0.8333333333333333,Bus,Vehicle,2340,1,1,14035
1,0.9166666666666666,Walk (10 min),Walk,2340,1,1,14035
1,1,End,End,2340,1,1,14035
1,0,Start (10 min wait),Start,2340,1,2,14035
1,0.25,Taxi,Vehicle,2340,1,2,14035
0,0.5,Transfer (5 min wait),Node,2340,1,2,14035
1,0.75,Bus,Vehicle,2340,1,2,14035
1,0.875,Walk (10 min),Walk,2340,1,2,14035
1,1,End,End,2340,1,2,14035
1,0,Start,Start,2340,1,3,14035
1,0.08333333333333333,Walk (5 min),Walk,2340,1,3,14035
1,0.16666666666666666,Car,Vehicle,2340,1,3,14035
0,0.3333333333333333,Transfer (10 min wait),Node,2340,1,3,14035
1,0.5,Bus,Vehicle,2340,1,3,14035
0,0.6666666666666666,Transfer,Node,2340,1,3,14035
1,0.8333333333333333,Taxi,Vehicle,2340,1,3,14035
1,0.9166666666666666,Walk (10 min),Walk,2340,1,3,14035
1,1,End,End,2340,1,3,14035
1,0,Start (5 min wait),Start,2340,2,1,14036
1,0.25,Uber/Lyft,Vehicle,2340,2,1,14036
0,0.5,Transfer (5 min wait),Node,2340,2,1,14036
1,0.75,Bus,Vehicle,2340,2,1,14036
1,0.875,Walk (5 min),Walk,2340,2,1,14036
1,1,End,End,2340,2,1,14036
1,0,Start,Start,2340,2,2,14036
1,0.5,Taxi,Vehicle,2340,2,2,14036
1,1,End,End,2340,2,2,14036
1,0,Start,Start,2340,2,3,14036
1,0.08333333333333333,Walk (5 min),Walk,2340,2,3,14036
1,0.16666666666666666,Car,Vehicle,2340,2,3,14036
0,0.3333333333333333,Transfer (5 min wait),Node,2340,2,3,14036
1,0.5,Bus,Vehicle,2340,2,3,14036
0,0.6666666666666666,Transfer (10 min wait),Node,2340,2,3,14036
1,0.8333333333333333,Taxi,Vehicle,2340,2,3,14036
1,1,End,End,2340,2,3,14036
1,0,Start,Start,2340,3,1,14037
1,0.08333333333333333,Walk (10 min),Walk,2340,3,1,14037
1,0.16666666666666666,Car,Vehicle,2340,3,1,14037
0,0.3333333333333333,Transfer (10 min wait),Node,2340,3,1,14037
1,0.5,Bus,Vehicle,2340,3,1,14037
0,0.6666666666666666,Transfer (5 min wait),Node,2340,3,1,14037
1,0.8333333333333333,Taxi,Vehicle,2340,3,1,14037
1,0.9166666666666666,Walk (10 min),Walk,2340,3,1,14037
