x,y,label,type,respID,qID,altID,obsID
0,0,Start (10 min wait),Node,2541,1,1,15241
0,0.08333333333333333,Walk (5 min),Walk,2541,1,1,15241
0,0.16666666666666666,Taxi,Vehicle,2541,1,1,15241
0,0.3333333333333333,Transfer (10 min wait),Node,2541,1,1,15241
0,0.5,Bus,Vehicle,2541,1,1,15241
0,0.6666666666666666,Transfer (10 min wait),Node,2541,1,1,15241
0,0.8333333333333333,Bus,Vehicle,2541,1,1,15241
0,1,End,Node,2541,1,1,15241
0,0,Start,Node,2541,1,2,15241
0,0.15,Walk (5 min),Walk,2541,1,2,15241
0,0.5,Car,Vehicle,2541,1,2,15241
0,0.85,Walk (5 min),Walk,2541,1,2,15241
0,1,End,Node,2541,1,2,15241
0,0,Start (5 min wait),Node,2541,1,3,15241
0,0.16666666666666666,Taxi,Vehicle,2541,1,3,15241
0,0.3333333333333333,Transfer (5 min wait),Node,2541,1,3,15241
0,0.5,Bus,Vehicle,2541,1,3,15241
0,0.6666666666666666,Transfer (5 min wait),Node,2541,1,3,15241
0,0.8333333333333333,Bus,Vehicle,2541,1,3,15241
0,1,End,Node,2541,1,3,15241
0,0,Start (10 min wait),Node,2541,2,1,15242
0,0.125,Walk (10 min),Walk,2541,2,1,15242
0,0.25,Taxi,Vehicle,2541,2,1,15242
0,0.5,Transfer (5 min wait),Node,2541,2,1,15242
0,0.75,Bus,Vehicle,2541,2,1,15242
0,1,End,Node,2541,2,1,15242
0,0,Start (5 min wait),Node,2541,2,2,15242
0,0.16666666666666666,Uber/Lyft,Vehicle,2541,2,2,15242
0,0.3333333333333333,Transfer (10 min wait),Node,2541,2,2,15242
0,0.5,Bus,Vehicle,2541,2,2,15242
0,0.6666666666666666,Transfer (10 min wait),Node,2541,2,2,15242
0,0.8333333333333333,Bus,Vehicle,2541,2,2,15242
0,0.9166666666666666,Walk (5 min),Walk,2541,2,2,15242
0,1,End,Node,2541,2,2,15242
0,0,Start (5 min wait),Node,2541,2,3,15242
0,0.16666666666666666,Bus,Vehicle,2541,2,3,15242
0,0.3333333333333333,Transfer (5 min wait),Node,2541,2,3,15242
0,0.5,Bus,Vehicle,2541,2,3,15242
0,0.6666666666666666,Transfer (10 min wait),Node,2541,2,3,15242
0,0.8333333333333333,Uber/Lyft,Vehicle,2541,2,3,15242
0,0.9166666666666666,Walk (10 min),Walk,2541,2,3,15242
0,1,End,Node,2541,2,3,15242
0,0,Start (10 min wait),Node,2541,3,1,15243
0,0.08333333333333333,Walk (5 min),Walk,2541,3,1,15243
0,0.16666666666666666,Bus,Vehicle,2541,3,1,15243
0,0.3333333333333333,Transfer (10 min wait),Node,2541,3,1,15243
0,0.5,Bus,Vehicle,2541,3,1,15243
0,0.6666666666666666,Transfer (10 min wait),Node,2541,3,1,15243
0,0.8333333333333333,Uber/Lyft,Vehicle,2541,3,1,15243
0,0.9166666666666666,Walk (10 min),Walk,2541,3,1,15243
0,1,End,Node,2541,3,1,15243
0,0,Start (5 min wait),Node,2541,3,2,15243
0,0.125,Walk (10 min),Walk,2541,3,2,15243
0,0.25,Taxi,Vehicle,2541,3,2,15243
0,0.5,Transfer (10 min wait),Node,2541,3,2,15243
0,0.75,Bus,Vehicle,2541,3,2,15243
0,1,End,Node,2541,3,2,15243
0,0,Start,Node,2541,3,3,15243
0,0.16666666666666666,Car,Vehicle,2541,3,3,15243
0,0.3333333333333333,Transfer (10 min wait),Node,2541,3,3,15243
0,0.5,Bus,Vehicle,2541,3,3,15243
0,0.6666666666666666,Transfer (10 min wait),Node,2541,3,3,15243
0,0.8333333333333333,Taxi,Vehicle,2541,3,3,15243
0,0.9166666666666666,Walk (5 min),Walk,2541,3,3,15243
0,1,End,Node,2541,3,3,15243
0,0,Start (5 min wait),Node,2541,4,1,15244
0,0.08333333333333333,Walk (10 min),Walk,2541,4,1,15244
0,0.16666666666666666,Bus,Vehicle,2541,4,1,15244
0,0.3333333333333333,Transfer (5 min wait),Node,2541,4,1,15244
0,0.5,Bus,Vehicle,2541,4,1,15244
0,0.6666666666666666,Transfer (5 min wait),Node,2541,4,1,15244
0,0.8333333333333333,Bus,Vehicle,2541,4,1,15244
0,0.9166666666666666,Walk (5 min),Walk,2541,4,1,15244
0,1,End,Node,2541,4,1,15244
0,0,Start (5 min wait),Node,2541,4,2,15244
0,0.08333333333333333,Walk (5 min),Walk,2541,4,2,15244
0,0.16666666666666666,Taxi,Vehicle,2541,4,2,15244
0,0.3333333333333333,Transfer (5 min wait),Node,2541,4,2,15244
0,0.5,Bus,Vehicle,2541,4,2,15244
0,0.6666666666666666,Transfer (5 min wait),Node,2541,4,2,15244
0,0.8333333333333333,Taxi,Vehicle,2541,4,2,15244
0,1,End,Node,2541,4,2,15244
0,0,Start (10 min wait),Node,2541,4,3,15244
0,0.16666666666666666,Taxi,Vehicle,2541,4,3,15244
0,0.3333333333333333,Transfer (10 min wait),Node,2541,4,3,15244
0,0.5,Bus,Vehicle,2541,4,3,15244
0,0.6666666666666666,Transfer (10 min wait),Node,2541,4,3,15244
0,0.8333333333333333,Bus,Vehicle,2541,4,3,15244
0,0.9166666666666666,Walk (5 min),Walk,2541,4,3,15244
0,1,End,Node,2541,4,3,15244
0,0,Start (10 min wait),Node,2541,5,1,15245
0,0.08333333333333333,Walk (10 min),Walk,2541,5,1,15245
0,0.16666666666666666,Bus,Vehicle,2541,5,1,15245
0,0.3333333333333333,Transfer (10 min wait),Node,2541,5,1,15245
0,0.5,Bus,Vehicle,2541,5,1,15245
0,0.6666666666666666,Transfer (5 min wait),Node,2541,5,1,15245
0,0.8333333333333333,Uber/Lyft,Vehicle,2541,5,1,15245
0,0.9166666666666666,Walk (5 min),Walk,2541,5,1,15245
0,1,End,Node,2541,5,1,15245
0,0,Start (5 min wait),Node,2541,5,2,15245
0,0.15,Walk (5 min),Walk,2541,5,2,15245
0,0.5,Uber/Lyft,Vehicle,2541,5,2,15245
0,1,End,Node,2541,5,2,15245
0,0,Start,Node,2541,5,3,15245
0,0.08333333333333333,Walk (5 min),Walk,2541,5,3,15245
0,0.16666666666666666,Car,Vehicle,2541,5,3,15245
0,0.3333333333333333,Transfer (10 min wait),Node,2541,5,3,15245
0,0.5,Bus,Vehicle,2541,5,3,15245
0,0.6666666666666666,Transfer (10 min wait),Node,2541,5,3,15245
0,0.8333333333333333,Bus,Vehicle,2541,5,3,15245
0,1,End,Node,2541,5,3,15245
0,0,Start,Node,2541,6,1,15246
0,0.125,Walk (5 min),Walk,2541,6,1,15246
0,0.25,Car,Vehicle,2541,6,1,15246
0,0.5,Transfer (5 min wait),Node,2541,6,1,15246
0,0.75,Bus,Vehicle,2541,6,1,15246
0,0.875,Walk (5 min),Walk,2541,6,1,15246
0,1,End,Node,2541,6,1,15246
0,0,Start,Node,2541,6,2,15246
0,0.08333333333333333,Walk (5 min),Walk,2541,6,2,15246
0,0.16666666666666666,Car,Vehicle,2541,6,2,15246
0,0.3333333333333333,Transfer (5 min wait),Node,2541,6,2,15246
0,0.5,Bus,Vehicle,2541,6,2,15246
0,0.6666666666666666,Transfer (10 min wait),Node,2541,6,2,15246
0,0.8333333333333333,Taxi,Vehicle,2541,6,2,15246
0,0.9166666666666666,Walk (10 min),Walk,2541,6,2,15246
0,1,End,Node,2541,6,2,15246
0,0,Start,Node,2541,6,3,15246
0,0.16666666666666666,Car,Vehicle,2541,6,3,15246
0,0.3333333333333333,Transfer (10 min wait),Node,2541,6,3,15246
0,0.5,Bus,Vehicle,2541,6,3,15246
0,0.6666666666666666,Transfer (10 min wait),Node,2541,6,3,15246
0,0.8333333333333333,Taxi,Vehicle,2541,6,3,15246
0,0.9166666666666666,Walk (10 min),Walk,2541,6,3,15246
0,1,End,Node,2541,6,3,15246
